source	contract	relative_path	materialized_path	bytes	compressed_bytes	CRC32	sha256	OFFICIAL_ARCHIVE_URL	REDISTRIBUTED
ORIGINAL	SPT_PR4	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.5.txt	LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.5.txt	35421624	6418017	549e18f7	03e2cc6277162dfda9a2ab496b5d3a11dde4d63b4799984e5aaa7e5c5598de6c	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_PR4	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.6.txt	LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.6.txt	37276200	6740439	dc770b37	57383eaf8aa8c7d92fffdb1a0b76a7475c5e96d3d3d7010c796b76fe3177b82c	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_PR4	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.input.yaml	LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.input.yaml	10099	2905	a022c97d	6cb419ff7dc05ffeaed280484b5cd02abf0666acd464c72a44c1c8a33b5ec6da	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_PR4	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.updated.yaml	LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS.updated.yaml	13538	3760	2573f17a	c472076497b6c934efbd6029383dcb9c54ad9f3ca1943f2e9781c263693085ba	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	SPT_PR4	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS_mean.txt	LCDM/S1920lite_MPP_PlkPR4lens_No_OLE/CLASS_mean.txt	1141	518	a803eecc	410b8127790f7d8b2bbaf615073b4a16e9dbc6b3a944a7f8a643724b9ee20acb	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	FULL_ORIGINAL	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.1.txt	LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.1.txt	29989234	5882289	75b4f955	3c312dc82ad8e8141a1669f1e8117f0d92e661562b40909e7909cd3c26c8ab63	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	FULL_ORIGINAL	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.2.txt	LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.2.txt	29903052	5841490	af597a26	a8ea89efd63a7a214de0cdd1e950576abed39c2ab987c95f72eebc6279a9e6e7	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	FULL_ORIGINAL	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.3.txt	LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.3.txt	29874675	5830188	3aed3e36	2b36cd615da67e0d5605d64125ae56841178ef9283ff440d59d67995a25672d6	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	FULL_ORIGINAL	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.4.txt	LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.4.txt	29723331	5793633	278706a6	f0041b0498bb1b339be0be26a9223c919cd7fe78a1f564335768c5ccc2a83f7d	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	FULL_ORIGINAL	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.5.txt	LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.5.txt	29953500	5858402	ff09ff6d	09a6f39cc8eeb4570ac289515ee9a45cb877e67eadf6428c098f0bb8cf557582	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	FULL_ORIGINAL	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.6.txt	LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.6.txt	29861012	5853004	6218e8e1	c74ebeeb012720d45dd448d76d3a7594df5c1f00ed0d0a608cac71a326d75db3	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	FULL_ORIGINAL	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.7.txt	LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.7.txt	29631894	5808808	bfd5d1bc	dc50bfb09461457b71f3a27eb3bf027654daacdc1fb6d049bb5ee77d93b88a3c	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	FULL_ORIGINAL	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.8.txt	LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.8.txt	29612976	5787442	91a9ea46	c23acb0d6994f95842ac1a77f329b9c9e7f8c60b31549d4ccff6b08322b41622	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	FULL_ORIGINAL	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.input.yaml	LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.input.yaml	11301	3094	37fd901a	5b22895168618bc3f344ca7d0ee30c74a0b35a50bf26c9bfea5ece4fbb06c4e0	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	FULL_ORIGINAL	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.updated.yaml	LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS.updated.yaml	15710	3878	e2b4177e	fb6d9501146bbb2d79b56dfe89f307ce2371fae068a023e0541e76c582f9c0ed	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
ORIGINAL	FULL_ORIGINAL	Compressed_Chains/LCDM.zip!LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS_mean.txt	LCDM/S1920lite_MPP_PlkPR4lens_ACTDR6lite_actdr6lens_No_OLE/CLASS_mean.txt	1217	569	7b0ba4aa	c0bd72acb6fa5f010af5339c2d4df37c0979ee50d0cfaa22867bf86c5f9ac641	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/chains_ttteee_winter1920.zip	NO
FIXED	FULL_FIXED	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS.1.txt	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS.1.txt	1577772	423054	0c0c9662	2c108a657bb39ad4c95583abe450b142ea5136a156deb504ba5f10a50d5ef551	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/CMB_SPA_DESI_Fixed.zip	NO
FIXED	FULL_FIXED	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS.2.txt	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS.2.txt	1541484	414695	01227cbd	57ff479a3343b68d3f0fb7449b02b85999a832f87e80267eadadeae9094f531e	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/CMB_SPA_DESI_Fixed.zip	NO
FIXED	FULL_FIXED	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS.3.txt	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS.3.txt	1588356	425836	e88d27af	f982f875e6ca3cbe67f6a6e5cfd16b72ee0f855c3e75f0a12db457489d03c644	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/CMB_SPA_DESI_Fixed.zip	NO
FIXED	FULL_FIXED	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS.4.txt	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS.4.txt	1506708	403306	ff4d4e81	d4dd72ec224f96cd9a7914f0be906e5157c63457d51f3ccdd7a4b4481a4b05d5	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/CMB_SPA_DESI_Fixed.zip	NO
FIXED	FULL_FIXED	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS.5.txt	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS.5.txt	1625400	436252	1f15ef9e	72675645c0ac2440613dc7344bc403c5bde1022a74dfb322082b559031cbca3d	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/CMB_SPA_DESI_Fixed.zip	NO
FIXED	FULL_FIXED	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS.6.txt	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS.6.txt	1540728	413018	29283b82	110b1f939c3f9056549a7f9674de3a166829cc6ef654750af7005087fe3fa68f	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/CMB_SPA_DESI_Fixed.zip	NO
FIXED	FULL_FIXED	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS.7.txt	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS.7.txt	1556604	417250	d0a1e543	202ce152d7c57b678e10ba23ea5e169ebcd88f9ac5f6b6fa12bf7fb9ebf83910	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/CMB_SPA_DESI_Fixed.zip	NO
FIXED	FULL_FIXED	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS.8.txt	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS.8.txt	1575504	423056	88d9d18c	0dc7c2f66c2d3ef70d3c64581b53353ad659c54464d8eef1e44600eb83096664	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/CMB_SPA_DESI_Fixed.zip	NO
FIXED	FULL_FIXED	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS.input.yaml	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS.input.yaml	6248	2106	6a4e8771	b478cca312415efe7a3079ba29e23c7858c83ce2f8235f826253609174730465	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/CMB_SPA_DESI_Fixed.zip	NO
FIXED	FULL_FIXED	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS.updated.yaml	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS.updated.yaml	9123	2863	6b7b676e	cb6c0582194365d7bcf880a0c8e226758f617f6a9c5203b6bda04b22ff9ede09	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/CMB_SPA_DESI_Fixed.zip	NO
FIXED	FULL_FIXED	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS_mean.txt	LCDM/S1920lite_MPP_PACT_PR4lens_actdr6lens_No_OLE/CLASS_mean.txt	839	376	176c541e	8f98bfca392a91578c67023202fafc11f29ebe605968e8181695338bd8b14a43	https://lambda.gsfc.nasa.gov/data/suborbital/SPT/spt_3g_d1/CMB_SPA_DESI_Fixed.zip	NO
