h0dn_row_1based	name	h0dn_m_b	h0dn_err_m_b	h0dn_zhel	h0dn_zcmb	catalog_only_classification	catalog_candidate_count	catalog_candidate_official_rows_1based	covariance_diagonal_used_for_mapping	final_dependency_classification	candidate_count	candidate_official_rows_1based	match_status	official_row_1based	official_CID	IDSURVEY	survey_label	official_m_b_corr	official_m_b_corr_err_DIAG	official_STAT_SYS_diagonal_sqrt	official_zHEL	official_zCMB	delta_m_b	delta_err_m_b	delta_err_m_b_role	delta_zhel	delta_zcmb
25	2003he	15.833	0.17121	0.025260000000000001	0.024039999999999999	CATALOG_ONLY_UNIQUE	1	378	NO	CATALOG_ONLY_UNIQUE	1	378	UNIQUE_MATCH	378	2003he	57	LOSS2	15.8332	0.23902699999999999	0.17120697999789611	0.025260000000000001	0.024039999999999999	0.00019999999999953388	3.0200021038928604e-06	POST_MAPPING_DIAGNOSTIC	0	0
26	2001cj	15.944000000000001	0.16935	0.02409	0.024910000000000002	CATALOG_ONLY_UNIQUE	1	379	NO	CATALOG_ONLY_UNIQUE	1	379	UNIQUE_MATCH	379	2001cj	57	LOSS2	15.9443	0.22689200000000001	0.16934830970517539	0.02409	0.024910000000000002	0.00029999999999930083	1.6902948246078076e-06	POST_MAPPING_DIAGNOSTIC	0	0
27	Gaia16agf	15.962	0.19567999999999999	0.025069999999999999	0.025530000000000001	CATALOG_ONLY_UNIQUE	1	380	NO	CATALOG_ONLY_UNIQUE	1	380	UNIQUE_MATCH	380	Gaia16agf	150	FOUND	15.962199999999999	0.26716600000000001	0.19567812856832006	0.025069999999999999	0.025530000000000001	0.00019999999999953388	1.8714316799284259e-06	POST_MAPPING_DIAGNOSTIC	0	0
28	2007cq	15.584	0.14588999999999999	0.026040000000000001	0.024809999999999999	CATALOG_ONLY_UNIQUE	1	381	NO	CATALOG_ONLY_UNIQUE	1	381	UNIQUE_MATCH	381	2007cq	56	SOUSA	15.5839	0.28677399999999997	0.14589410543267331	0.026040000000000001	0.024809999999999999	9.9999999999766942e-05	4.1054326733180879e-06	POST_MAPPING_DIAGNOSTIC	0	0
29	2007cq	15.595000000000001	0.12675	0.026040000000000001	0.024809999999999999	CATALOG_ONLY_UNIQUE	1	382	NO	CATALOG_ONLY_UNIQUE	1	382	UNIQUE_MATCH	382	2007cq	64	CFA3K	15.5952	0.17990300000000001	0.12674632144563408	0.026040000000000001	0.024809999999999999	0.00019999999999953388	3.6785543659212383e-06	POST_MAPPING_DIAGNOSTIC	0	0
30	2003it	15.826000000000001	0.20754	0.02528	0.024129999999999999	CATALOG_ONLY_UNIQUE	1	383	NO	CATALOG_ONLY_UNIQUE	1	383	UNIQUE_MATCH	383	2003it	63	CFA3S	15.826000000000001	0.20421900000000001	0.20754491080245741	0.02528	0.024129999999999999	0	4.9108024574029407e-06	POST_MAPPING_DIAGNOSTIC	0	0
31	2007cq	15.756	0.12841	0.026040000000000001	0.024809999999999999	CATALOG_ONLY_UNIQUE	1	384	NO	CATALOG_ONLY_UNIQUE	1	384	UNIQUE_MATCH	384	2007cq	57	LOSS2	15.756	0.174816	0.12841012421144993	0.026040000000000001	0.024809999999999999	0	1.2421144993113309e-07	POST_MAPPING_DIAGNOSTIC	0	0
32	2011dn	15.205	0.24315999999999999	0.025270000000000001	0.02443	CATALOG_ONLY_UNIQUE	1	386	NO	CATALOG_ONLY_UNIQUE	1	386	UNIQUE_MATCH	386	2011dn	56	SOUSA	15.205299999999999	0.33216899999999999	0.24315577311674094	0.025270000000000001	0.02443	0.00029999999999930083	4.2268832590452998e-06	POST_MAPPING_DIAGNOSTIC	0	0
33	2007sw	15.659000000000001	0.21920000000000001	0.024279999999999999	0.025000000000000001	CATALOG_ONLY_UNIQUE	1	387	NO	CATALOG_ONLY_UNIQUE	1	387	UNIQUE_MATCH	387	2007sw	65	CFA4p2	15.6587	0.30529200000000001	0.21919662406159451	0.024279999999999999	0.025000000000000001	0.00030000000000107718	3.3759384054921071e-06	POST_MAPPING_DIAGNOSTIC	0	0
34	2012bh	15.946	0.16939000000000001	0.024279999999999999	0.025000000000000001	CATALOG_ONLY_UNIQUE	1	388	NO	CATALOG_ONLY_UNIQUE	1	388	UNIQUE_MATCH	388	2012bh	51	LOSS1	15.9459	0.23674700000000001	0.1693864221240888	0.024279999999999999	0.025000000000000001	9.9999999999766942e-05	3.5778759112092828e-06	POST_MAPPING_DIAGNOSTIC	0	0
