h0dn_row_1based	name	official_row_1based	official_CID	IDSURVEY	h0dn_err_m_b	official_m_b_corr_err_DIAG	official_STAT_SYS_diagonal	official_STAT_SYS_diagonal_sqrt	catalog_vs_matrix_absolute_difference	catalog_vs_matrix_within_tolerance	h0dn_vs_matrix_absolute_difference	h0dn_vs_matrix_within_tolerance
93	ASASSN-15hg	499	ASASSN-15hg	150	0.14086000000000001	0.19434699999999999	0.019841549999999999	0.14086003691608207	0.053486963083917927	NO	3.6916082052362853e-08	YES
94	ATLAS17axb	500	ATLAS17axb	150	0.13361999999999999	0.183588	0.017853870000000001	0.13361837448494873	0.049969625515051269	NO	1.6255150512567429e-06	YES
95	CSS160428	502	CSS160428	150	0.15608	0.162055	0.024360010000000001	0.15607693615649942	0.0059780638435005806	NO	3.0638435005725384e-06	YES
96	2000dn	503	2000dn	57	0.11703	0.218912	0.01369537	0.11702721905608114	0.10188478094391885	NO	2.78094391885364e-06	YES
97	2006en	504	2006en	57	0.13877	0.192354	0.019257839999999998	0.13877261977782215	0.053581380222177843	NO	2.6197778221492829e-06	YES
98	2006en	505	2006en	64	0.13427	0.18612799999999999	0.0180284	0.13426987748560731	0.051858122514392674	NO	1.2251439268640141e-07	YES
99	2008bq	506	2008bq	5	0.13084000000000001	0.17599100000000001	0.017119680000000002	0.13084219502897373	0.045148804971026274	NO	2.1950289737227013e-06	YES
100	ASASSN-16oz	507	ASASSN-16oz	150	0.19524	0.27474100000000001	0.038117470000000001	0.19523695859134868	0.079504041408651333	NO	3.0414086513164129e-06	YES
101	2006az	508	2006az	64	0.10523	0.146203	0.01107314	0.10522898840148565	0.040974011598514354	NO	1.0115985143582806e-06	YES
102	010026	509	010026	15	0.14451	0.200299	0.020881899999999998	0.14450570922977402	0.055793290770225989	NO	4.2907702259842306e-06	YES
103	AT2017po	510	AT2017po	150	0.1389	0.19495299999999999	0.019292489999999999	0.13889740818316229	0.056055591816837697	NO	2.591816837704819e-06	YES
104	2007ux	513	2007ux	5	0.13586999999999999	0.188113	0.018460339999999999	0.13586883380672699	0.052244166193273017	NO	1.1661932730056002e-06	YES
105	ASASSN-15pr	515	ASASSN-15pr	150	0.14022000000000001	0.19631999999999999	0.019662599999999999	0.14022339319813937	0.056096606801860627	NO	3.393198139356457e-06	YES
106	SN2016hpx	519	SN2016hpx	150	0.14602999999999999	0.202232	0.02132564	0.14603300996692495	0.056198990033075047	NO	3.009966924955032e-06	YES
107	SN2017cii	520	SN2017cii	150	0.13003999999999999	0.17660699999999999	0.016909819999999999	0.13003776374576734	0.046569236254232649	NO	2.2362542326515022e-06	YES
108	2006te	521	2006te	64	0.10815	0.15115700000000001	0.01169709	0.10815308594765108	0.043003914052348935	NO	3.085947651082499e-06	YES
