h0dn_row_1based	name	catalog_only_classification	catalog_candidate_count	catalog_candidate_official_rows_1based	catalog_candidate_details_json	covariance_diagonal_used	covariance_assisted_candidate_count	covariance_assisted_candidate_official_rows_1based	final_dependency_classification	final_candidate_count	final_official_row_1based	final_IDSURVEY
47	ASASSN-17at	CATALOG_ONLY_UNIQUE	1	413	"[{""CID"":""ASASSN-17at"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":4.296957777344401e-06,""delta_m_b"":0.0003000000000010772,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":413}]"	NO			CATALOG_ONLY_UNIQUE	1	413	150
48	2013fn	CATALOG_ONLY_UNIQUE	1	415	"[{""CID"":""2013fn"",""IDSURVEY"":56,""covariance_assist_pass"":null,""delta_err_m_b"":4.533220482300093e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":415}]"	NO			CATALOG_ONLY_UNIQUE	1	415	56
49	2002eb	CATALOG_ONLY_UNIQUE	1	416	"[{""CID"":""2002eb"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":1.4618445569325456e-07,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":416}]"	NO			CATALOG_ONLY_UNIQUE	1	416	57
50	2007co	CATALOG_ONLY_UNIQUE	1	417	"[{""CID"":""2007co"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":2.6646928361628852e-06,""delta_m_b"":0.00030000000000285354,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":417}]"	NO			CATALOG_ONLY_UNIQUE	1	417	57
51	2007co	CATALOG_ONLY_UNIQUE	1	418	"[{""CID"":""2007co"",""IDSURVEY"":56,""covariance_assist_pass"":null,""delta_err_m_b"":1.0541191007018558e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":418}]"	NO			CATALOG_ONLY_UNIQUE	1	418	56
52	2007co	CATALOG_ONLY_UNIQUE	1	419	"[{""CID"":""2007co"",""IDSURVEY"":64,""covariance_assist_pass"":null,""delta_err_m_b"":1.1540153143918541e-06,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":419}]"	NO			CATALOG_ONLY_UNIQUE	1	419	64
53	1992P	CATALOG_ONLY_UNIQUE	1	420	"[{""CID"":""1992P"",""IDSURVEY"":50,""covariance_assist_pass"":null,""delta_err_m_b"":3.6665413294945104e-06,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":420}]"	NO			CATALOG_ONLY_UNIQUE	1	420	50
54	2005na	CATALOG_ONLY_UNIQUE	1	423	"[{""CID"":""2005na"",""IDSURVEY"":5,""covariance_assist_pass"":null,""delta_err_m_b"":4.2787345711226e-06,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":423}]"	NO			CATALOG_ONLY_UNIQUE	1	423	5
55	2005na	CATALOG_ONLY_UNIQUE	1	424	"[{""CID"":""2005na"",""IDSURVEY"":64,""covariance_assist_pass"":null,""delta_err_m_b"":4.3365133706174674e-09,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":424}]"	NO			CATALOG_ONLY_UNIQUE	1	424	64
56	2005na	CATALOG_ONLY_UNIQUE	1	425	"[{""CID"":""2005na"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":3.00599684879832e-06,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":425}]"	NO			CATALOG_ONLY_UNIQUE	1	425	57
57	2010ii	CATALOG_ONLY_UNIQUE	1	428	"[{""CID"":""2010ii"",""IDSURVEY"":51,""covariance_assist_pass"":null,""delta_err_m_b"":3.283785893176683e-06,""delta_m_b"":0.0004000000000008441,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":428}]"	NO			CATALOG_ONLY_UNIQUE	1	428	51
58	PSNJ0252467	CATALOG_ONLY_UNIQUE	1	430	"[{""CID"":""PSNJ0252467"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":1.6368009723433108e-06,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":430}]"	NO			CATALOG_ONLY_UNIQUE	1	430	150
59	2009aa	CATALOG_ONLY_UNIQUE	1	431	"[{""CID"":""2009aa"",""IDSURVEY"":5,""covariance_assist_pass"":null,""delta_err_m_b"":1.6645416961724724e-06,""delta_m_b"":0.00039999999999906777,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":431}]"	NO			CATALOG_ONLY_UNIQUE	1	431	5
60	2011hb	CATALOG_ONLY_UNIQUE	1	432	"[{""CID"":""2011hb"",""IDSURVEY"":56,""covariance_assist_pass"":null,""delta_err_m_b"":4.418558130825367e-06,""delta_m_b"":0.0004000000000026205,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":432}]"	NO			CATALOG_ONLY_UNIQUE	1	432	56
61	2005eq	CATALOG_ONLY_UNIQUE	1	433	"[{""CID"":""2005eq"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":2.292016628893667e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":433}]"	NO			CATALOG_ONLY_UNIQUE	1	433	57
62	2005eq	CATALOG_ONLY_UNIQUE	1	434	"[{""CID"":""2005eq"",""IDSURVEY"":5,""covariance_assist_pass"":null,""delta_err_m_b"":4.400484818756212e-07,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":434}]"	NO			CATALOG_ONLY_UNIQUE	1	434	5
63	2005eq	CATALOG_ONLY_UNIQUE	1	435	"[{""CID"":""2005eq"",""IDSURVEY"":64,""covariance_assist_pass"":null,""delta_err_m_b"":4.742674388061308e-06,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":435}]"	NO			CATALOG_ONLY_UNIQUE	1	435	64
64	2009ad	CATALOG_ONLY_UNIQUE	1	437	"[{""CID"":""2009ad"",""IDSURVEY"":65,""covariance_assist_pass"":null,""delta_err_m_b"":9.825100076299442e-07,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":437}]"	NO			CATALOG_ONLY_UNIQUE	1	437	65
65	2009ad	CATALOG_ONLY_UNIQUE	1	438	"[{""CID"":""2009ad"",""IDSURVEY"":5,""covariance_assist_pass"":null,""delta_err_m_b"":7.356144081371863e-08,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":438}]"	NO			CATALOG_ONLY_UNIQUE	1	438	5
66	2008ar	CATALOG_ONLY_UNIQUE	1	440	"[{""CID"":""2008ar"",""IDSURVEY"":57,""covariance_assist_pass"":null,""delta_err_m_b"":2.7717062546783744e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":440}]"	NO			CATALOG_ONLY_UNIQUE	1	440	57
67	2008ar	CATALOG_ONLY_UNIQUE	1	441	"[{""CID"":""2008ar"",""IDSURVEY"":5,""covariance_assist_pass"":null,""delta_err_m_b"":1.9510086363139223e-06,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":441}]"	NO			CATALOG_ONLY_UNIQUE	1	441	5
68	2008ar	CATALOG_ONLY_UNIQUE	1	442	"[{""CID"":""2008ar"",""IDSURVEY"":65,""covariance_assist_pass"":null,""delta_err_m_b"":3.864117819274426e-06,""delta_m_b"":0.0,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":442}]"	NO			CATALOG_ONLY_UNIQUE	1	442	65
69	2007is	CATALOG_ONLY_UNIQUE	1	446	"[{""CID"":""2007is"",""IDSURVEY"":65,""covariance_assist_pass"":null,""delta_err_m_b"":4.257385316563944e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":446}]"	NO			CATALOG_ONLY_UNIQUE	1	446	65
70	1998ab	CATALOG_ONLY_UNIQUE	1	448	"[{""CID"":""1998ab"",""IDSURVEY"":62,""covariance_assist_pass"":null,""delta_err_m_b"":4.9141496870908075e-06,""delta_m_b"":0.0002999999999993008,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":448}]"	NO			CATALOG_ONLY_UNIQUE	1	448	62
71	ASASSN-15la	CATALOG_ONLY_UNIQUE	1	451	"[{""CID"":""ASASSN-15la"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":2.65192969373107e-06,""delta_m_b"":0.00020000000000131024,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":451}]"	NO			CATALOG_ONLY_UNIQUE	1	451	150
72	1996C	CATALOG_ONLY_UNIQUE	1	452	"[{""CID"":""1996C"",""IDSURVEY"":61,""covariance_assist_pass"":null,""delta_err_m_b"":2.4507213663149674e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":452}]"	NO			CATALOG_ONLY_UNIQUE	1	452	61
73	PS16cvc	CATALOG_ONLY_UNIQUE	1	453	"[{""CID"":""PS16cvc"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":2.5028748960875813e-06,""delta_m_b"":0.00019999999999953388,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":453}]"	NO			CATALOG_ONLY_UNIQUE	1	453	150
74	ASASSN-15fs	CATALOG_ONLY_UNIQUE	1	454	"[{""CID"":""ASASSN-15fs"",""IDSURVEY"":150,""covariance_assist_pass"":null,""delta_err_m_b"":3.1591475661563173e-06,""delta_m_b"":9.999999999976694e-05,""delta_zcmb"":0.0,""delta_zhel"":0.0,""official_row_1based"":454}]"	NO			CATALOG_ONLY_UNIQUE	1	454	150
