h0dn_row_1based	official_row_1based	CID	IDSURVEY	survey_label	allowed_directories	active_candidate_count	active_candidate_paths	unparseable_active_files_in_allowed_directories	lineage_status	unique_file_sha256	unique_file_git_blob_sha1	unique_file_nobs	unique_file_observation_line_count
68	442	2008ar	65	CFA4p2	PS1_LOWZ_COMBINED_TEXT_DS17	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
81	469	2004ef	57	LOSS2	LOSS	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
82	470	2004ef	5	CSP	CSPDR3_anthony;CSP_data2	1	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2004ef.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	566b89395e31f1140954e6c77653d0a163739d9baf32a8afa414113ebcedcbdf	b07e1be51323af674209527520cae1e12eca7cf7	278	278
83	471	2004ef	64	CFA3K	CfA3_DJ20	1	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2004ef.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	02878c7ef5200a532acbf1122401c9c24250b51598dfcd3b39e67ffd1e91abea	44712567be55bc04e11b0bd1d0fd7b958c945813	32	32
87	487	2008gg	51	LOSS1	KAIT_DS15	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
88	488	2008gg	5	CSP	CSPDR3_anthony;CSP_data2	1	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008gg.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	da05c484a6cae222e86d0127e7fdfca26166d41cdea94b6eab4266a91813d950	51af12da5d6ea339cfbdf242dc701c7c16a24f1c	198	198
90	492	2007bd	51	LOSS1	KAIT_DS15	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
91	493	2007bd	5	CSP	CSPDR3_anthony;CSP_data2	1	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2007bd.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	d001faf2bcf62d6da27057a94db6fd6c33bf98a29e59e47aee0b16b08ffa1263	defc38c8c161450ea9ac1138c7e66a1d8d47638e	110	110
92	494	2007bd	64	CFA3K	CfA3_DJ20	1	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007bd.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	ff42b5e2370ab753f3ca7858c9159621928aa5a0f902fad4259bd8657ab6ac34	2856af6c6e05924c7ba1a3a37015efa43e427a8d	46	46
97	504	2006en	57	LOSS2	LOSS	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
98	505	2006en	64	CFA3K	CfA3_DJ20	1	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006en.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	fb47a2e245acb1dd78ae7ccee831f52a18d7c0581a93f289e079f35bb33bc13a	a76833b2a9a37f3fe3393bce47e7623a56a0d2e5	58	58
