edge	metric	edge_type	interpretation_boundary	burn_fraction_per_chain	endpoint_a	endpoint_b	swap_invariance_max_error	full6d_distance_squared	tn2d_distance_squared	full6d_mahalanobis	tn2d_mahalanobis	conditional_fraction_full_distance_squared	decomposition_closure_error	metric_correlation_condition_number	conditional_correlation_condition_number	metric_min_correlation_eigenvalue	conditional_min_eigenvalue	conditional4d_distance_squared	conditional4d_mahalanobis	baryon_tilt_marginal_distance_squared	tau_amplitude_given_baryon_tilt_distance_squared	tau_amplitude_marginal_distance_squared	baryon_tilt_given_tau_amplitude_distance_squared	baryon_tilt_shapley_distance_squared	tau_amplitude_shapley_distance_squared	baryon_tilt_shapley_share	tau_amplitude_shapley_share	cross_block_interaction_distance_squared	order_sensitivity_fraction	shapley_closure_error	max_block_canonical_correlation	min_block_canonical_correlation	block_pattern_classification	conditional_residual_omega_b	conditional_residual_tau	conditional_residual_n_s	conditional_residual_logA	delta_tangent_DESI_sigma	delta_normal_DESI_sigma	delta_omega_b	delta_tau	delta_n_s	delta_logA
BASE_TO_FULL_ORIGINAL	ARITHMETIC_COVARIANCE_POOL	UNMATCHED_RELEASE_ENDPOINT	Adds ACT and Planck primary likelihoods but not the lensing composition of either partial corner.	0.5	SPT_BASE	FULL_ORIGINAL	0.0	6.746169517381668	1.1674274250109389	2.597338930016964	1.0804755550270162	0.8269495864278191	-8.881784197001252e-16	20.748907652721712	12.210242376663114	0.12426679048195835	0.12447523271617178	5.578742092370731	2.3619360898150337	4.286556757865456	1.292185334505275	4.382331960261948	1.1964101321087828	2.7414834449871193	2.8372586473836114	0.49141605752599044	0.5085839424740095	-3.090146625756673	0.553914587659938	0.0	0.612984184288966	0.035618874551890216	ORDER_SENSITIVE	0.27283830905658657	0.6822569801547154	2.0110601535373958	-0.6948583329905307	-0.8164140751264979	-0.0738348536729565	0.00015851399511818132	0.005441799032593543	0.01868476138592423	-0.005303966849052433
BASE_TO_FULL_ORIGINAL	PRECISION_MEAN_POOL	UNMATCHED_RELEASE_ENDPOINT	Adds ACT and Planck primary likelihoods but not the lensing composition of either partial corner.	0.5	SPT_BASE	FULL_ORIGINAL	0.0	38.02193258226582	2.4564770248655736	6.166192713682068	1.567315228301433	0.9353931571060816	3.552713678800501e-14	50.41731663669076	28.899248922065713	0.05821238960561675	0.05885491267880987	35.56545555740021	5.963678022613244	27.875996337938457	7.689459219461757	13.889071256528016	21.676384300872197	24.776190319405327	10.789265237994886	0.6966363830042399	0.3033636169957601	-6.1996120370662595	0.17431555254678263	0.0	0.30559446096999593	0.039478805134095546	BARYON_TILT_DOMINANT	0.23923570619492773	0.635730239775268	4.335836292701728	-0.7172029577185468	-0.8164140751264979	-0.0738348536729565	0.00015851399511818132	0.005441799032593543	0.01868476138592423	-0.005303966849052433
BASE_TO_FULL_FIXED	ARITHMETIC_COVARIANCE_POOL	OFFICIAL_FIXED_FULL_ENDPOINT	Adds ACT and Planck primary likelihoods plus joint ACT+Planck lensing.	0.3	SPT_BASE	FULL_FIXED	0.0	6.968421394069992	1.3151698064733321	2.6397767697420917	1.1468085308687463	0.8112671820345826	0.0	20.556845084984843	10.307114872273889	0.12950754431436068	0.13824703858015777	5.65325158759666	2.37765674301331	4.406414106047382	1.246837481549278	4.093159282546469	1.5600923050501914	2.983253205548787	2.6699983820478734	0.5277057210922825	0.4722942789077174	-2.846321800997191	0.5034840139154737	0.0	0.5892883479087178	0.0517936737201433	ORDER_SENSITIVE	0.35002324588065314	0.44202055712528027	2.0051390131397686	-0.916643271933993	-0.8392905831925628	-0.07845071636492439	0.00018114893803874987	0.0041796459828838325	0.01844074398940565	-0.007271469816045428
BASE_TO_FULL_FIXED	PRECISION_MEAN_POOL	OFFICIAL_FIXED_FULL_ENDPOINT	Adds ACT and Planck primary likelihoods plus joint ACT+Planck lensing.	0.3	SPT_BASE	FULL_FIXED	0.0	33.89329014500405	2.8802596570048724	5.821794409372771	1.6971327753021779	0.9150197680814584	-3.552713678800501e-15	32.02019854369593	14.891202033590229	0.09675242308824752	0.10078063631450747	31.013030487999185	5.568934412255111	27.106039858749302	3.906990629249883	9.662370070541872	21.350660417457313	24.22835013810331	6.784680349895877	0.7812313004199548	0.21876869958004524	-5.755379441291989	0.1855793952003205	3.552713678800501e-15	0.288311794942573	0.03445044688624533	BARYON_TILT_DOMINANT	0.35489904021686725	0.4023940184671741	4.240073578042935	-1.0579138582307248	-0.8392905831925628	-0.07845071636492439	0.00018114893803874987	0.0041796459828838325	0.01844074398940565	-0.007271469816045428
BASE_TO_FULL_FIXED	ARITHMETIC_COVARIANCE_POOL	OFFICIAL_FIXED_FULL_ENDPOINT	Adds ACT and Planck primary likelihoods plus joint ACT+Planck lensing.	0.5	SPT_BASE	FULL_FIXED	0.0	6.795356214330221	1.3444565598911464	2.6067904047564356	1.1595070331356971	0.8021506868093359	0.0	20.832436585469036	10.699996183848677	0.12736372635069312	0.13458517798410702	5.450899654439075	2.33471618284516	4.264098748885186	1.1868009055538895	3.986985060690456	1.463914593748619	2.8640066713169023	2.5868929831221728	0.5254190781120925	0.4745809218879075	-2.8001841551365665	0.513710457475798	0.0	0.598836265064151	0.047765676944580636	ORDER_SENSITIVE	0.366260947505881	0.4352286425311678	1.9697079694967803	-0.8999409483326211	-0.858707362299131	-0.07900881304451703	0.00018288812442467106	0.0041768694651879365	0.018332764978467475	-0.0071102300163841115
BASE_TO_FULL_FIXED	PRECISION_MEAN_POOL	OFFICIAL_FIXED_FULL_ENDPOINT	Adds ACT and Planck primary likelihoods plus joint ACT+Planck lensing.	0.5	SPT_BASE	FULL_FIXED	0.0	34.79942656619547	2.852859896641812	5.899103878234005	1.6890411175107052	0.918019916471465	1.4210854715202004e-14	32.934188731350766	15.267753494806922	0.09448555318317133	0.09879782797693276	31.946566669553647	5.652129392499224	28.023056358157135	3.9235103113965124	9.652428372805762	22.294138296747885	25.15859732745251	6.787969342101137	0.7875211626866201	0.21247883731338	-5.728918061409249	0.17932813001996664	0.0	0.29491652613636665	0.03918062132882937	BARYON_TILT_DOMINANT	0.3796195983138184	0.4106215398218489	4.246242240239106	-1.038914758138658	-0.858707362299131	-0.07900881304451703	0.00018288812442467106	0.0041768694651879365	0.018332764978467475	-0.0071102300163841115
ACT_TO_FULL_FIXED	ARITHMETIC_COVARIANCE_POOL	CONDITIONAL_EXTENSION	Adds the Planck primary likelihood family while retaining joint ACT+Planck lensing.	0.3	SPT_ACT	FULL_FIXED	0.0	4.5288854200802655	2.7531078351399207	2.128117811607305	1.659249178134472	0.392100355877157	4.884981308350689e-15	45.639993562587655	19.34812256634382	0.06664764251930941	0.07170682024559423	1.7757775849403399	1.3325830499223452	1.6602525942407311	0.11552499069960875	0.06899421910839382	1.706783365831946	1.6835179800363385	0.09225960490400129	0.9480455178134817	0.05195448218651825	0.04653077159121494	0.026203040282647874	-2.220446049250313e-16	0.489703595700638	0.03401496393443587	BARYON_TILT_DOMINANT	-0.7599480727897194	-0.21188047684857025	-0.5156256522636595	-0.22367237958435737	-2.089521696065222	-0.07947748970843975	-7.563225652359659e-05	0.0034861550750033346	0.0008080378619760298	0.005865604281037662
ACT_TO_FULL_FIXED	PRECISION_MEAN_POOL	CONDITIONAL_EXTENSION	Adds the Planck primary likelihood family while retaining joint ACT+Planck lensing.	0.3	SPT_ACT	FULL_FIXED	0.0	7.156346391027688	3.863842055734485	2.675134836046155	1.965665804691755	0.46008174498389237	3.552713678800501e-15	39.182300610406635	19.50457179311264	0.07606610093323377	0.07798988636368598	3.292504335293199	1.814525925770475	3.2123975069682036	0.0801068283249955	0.07781983753894811	3.214684497754251	3.213541002361227	0.0789633329319718	0.9760172425331247	0.02398275746687516	0.0022869907860473826	0.0006946052466909079	-4.440892098500626e-16	0.3536757652332906	0.030572944324614063	BARYON_TILT_DOMINANT	-1.0326115007620333	-0.23978053313053427	-0.7029427858168142	-0.24638929564704193	-2.089521696065222	-0.07947748970843975	-7.563225652359659e-05	0.0034861550750033346	0.0008080378619760298	0.005865604281037662
ACT_TO_FULL_FIXED	ARITHMETIC_COVARIANCE_POOL	CONDITIONAL_EXTENSION	Adds the Planck primary likelihood family while retaining joint ACT+Planck lensing.	0.5	SPT_ACT	FULL_FIXED	0.0	4.44768683110451	2.564394661067703	2.1089539660942127	1.6013727427016182	0.4234318290726241	8.881784197001252e-16	46.65238756603563	19.794601780123873	0.06531899506978583	0.07033345869214125	1.883292170036806	1.372330925847263	1.7556346157077098	0.1276575543290961	0.07185505344245223	1.8114371165943537	1.7835358661510319	0.09975630388577417	0.9470308933085914	0.05296910669140869	0.05580250088664386	0.029630294106491865	0.0	0.4914165218993294	0.03416736923043631	BARYON_TILT_DOMINANT	-0.7876596509031065	-0.20562203884983465	-0.5083545389557367	-0.23130512141105863	-2.0279463719499784	-0.07668783930796101	-7.891455977714762e-05	0.003389981943274341	0.000808771612596848	0.005522469850641087
ACT_TO_FULL_FIXED	PRECISION_MEAN_POOL	CONDITIONAL_EXTENSION	Adds the Planck primary likelihood family while retaining joint ACT+Planck lensing.	0.5	SPT_ACT	FULL_FIXED	0.0	6.9748116462053895	3.527169815352349	2.6409868697525534	1.8780760941325965	0.4942989152586939	1.1546319456101628e-14	40.457092749362694	19.932051369971628	0.07411613941218176	0.07645544866780629	3.447641830853029	1.8567826557928175	3.371158101608354	0.07648372924467495	0.07376125706046514	3.373880573792564	3.372519337700459	0.07512249315257005	0.9782104705656206	0.021789529434379486	0.0027224721842098037	0.0007896621278481937	4.440892098500626e-16	0.35538476079679643	0.03252314828526148	BARYON_TILT_DOMINANT	-1.0611866970023511	-0.22155064467242946	-0.6960426723172707	-0.24467545823440406	-2.0279463719499784	-0.07668783930796101	-7.891455977714762e-05	0.003389981943274341	0.000808771612596848	0.005522469850641087
PR4_TO_FULL_FIXED	ARITHMETIC_COVARIANCE_POOL	MIXED_EXTENSION	Adds ACT primary and replaces Planck-only lensing with joint ACT+Planck lensing.	0.3	SPT_PR4	FULL_FIXED	0.0	3.5820320278931415	1.2022648528565119	1.8926256967221864	1.0964783868624643	0.6643623386126861	0.0	41.3182323455456	18.30302321225095	0.080394878969448	0.081909368393961	2.37976717503663	1.5426494012045089	2.377381876542164	0.002385298494465893	0.056925673999871515	2.3228415010367582	2.350111688789461	0.029655486247168704	0.9875384926062306	0.01246150739376941	-0.05454037550540562	0.022918366165196893	0.0	0.2498034840713574	0.034684373710916615	BARYON_TILT_DOMINANT	0.23431665938262436	0.07290661405858492	1.1903123568276759	-0.025778726294398868	-0.24218726629028353	-0.03536570249637861	9.973364787023778e-05	0.0011464378758884314	0.00426166954249263	0.0012916970113434623
PR4_TO_FULL_FIXED	PRECISION_MEAN_POOL	MIXED_EXTENSION	Adds ACT primary and replaces Planck-only lensing with joint ACT+Planck lensing.	0.3	SPT_PR4	FULL_FIXED	0.0	3.8064476889052696	1.2307288030367403	1.951011965341389	1.1093821717680252	0.6766726082630875	-8.881784197001252e-16	42.7311009615593	18.866404527211174	0.07774946263127958	0.0787820305177825	2.5757188858685303	1.6049046345090197	2.573424128841011	0.0022947570275193563	0.06193213839693877	2.5137867474715914	2.543605438156301	0.032113447712229064	0.9875322389068089	0.012467761093191051	-0.059637381369419415	0.023153684082768165	-4.440892098500626e-16	0.2572055335393113	0.028378039642485257	BARYON_TILT_DOMINANT	0.25200233778427095	0.0722118100394474	1.228173361807497	-0.029266399087665346	-0.24218726629028353	-0.03536570249637861	9.973364787023778e-05	0.0011464378758884314	0.00426166954249263	0.0012916970113434623
PR4_TO_FULL_FIXED	ARITHMETIC_COVARIANCE_POOL	MIXED_EXTENSION	Adds ACT primary and replaces Planck-only lensing with joint ACT+Planck lensing.	0.5	SPT_PR4	FULL_FIXED	0.0	3.578442111831027	1.1512650841828551	1.8916770633041537	1.072970215888053	0.6782775721377328	1.7763568394002505e-15	41.583628168500894	18.738992273833325	0.07964671824738422	0.08070789931616801	2.4271770276481703	1.5579399948804737	2.4206178880810767	0.006559139567093641	0.0864868684349471	2.3406901592132234	2.38065402364715	0.04652300400102037	0.980832463610576	0.019167536389424034	-0.07992772886785346	0.03293032521212504	0.0	0.2500164094180213	0.04102235103627882	BARYON_TILT_DOMINANT	0.233798251273046	0.07693896523710028	1.197859080435531	-0.04486530087852182	-0.22833248498387615	-0.034435203136149645	9.688576446091265e-05	0.0010757574120327032	0.004177866722056112	0.0009701434630104977
PR4_TO_FULL_FIXED	PRECISION_MEAN_POOL	MIXED_EXTENSION	Adds ACT primary and replaces Planck-only lensing with joint ACT+Planck lensing.	0.5	SPT_PR4	FULL_FIXED	0.0	3.808976417067438	1.176251685454091	1.9516599132706083	1.0845513752027107	0.6911895594355772	8.881784197001252e-16	43.22919314843557	19.273429294873104	0.07679402340643839	0.07763773747831758	2.632724731613346	1.622567327297498	2.627245932578123	0.00547879903522297	0.09407967290477606	2.53864505870857	2.5829454956433464	0.049779235969999516	0.9810921227835716	0.018907877216428386	-0.08860087386955309	0.033653679325319416	0.0	0.25985239580430464	0.036753917979673374	BARYON_TILT_DOMINANT	0.2500553215753675	0.07574756038162658	1.2346286763581007	-0.04946051566096056	-0.22833248498387615	-0.034435203136149645	9.688576446091265e-05	0.0010757574120327032	0.004177866722056112	0.0009701434630104977
ORIGINAL_TO_FIXED_RELEASE	ARITHMETIC_COVARIANCE_POOL	RELEASE_ENDPOINT_CHANGE	Combines the official nuisance-prior correction with released likelihood-implementation/composition changes; not a bugfix-only contrast.	0.3	FULL_ORIGINAL	FULL_FIXED	0.0	0.14994374874557395	0.0232224005709865	0.3872257077539842	0.15238897785268624	0.845125917117154	1.6653345369377348e-16	57.918951241977055	28.96378393487642	0.055372147308001204	0.055564759532698425	0.1267213481745873	0.3559794209987247	0.05302236110053582	0.07369898707405148	0.08831023131459877	0.038411116859988534	0.04571673898026218	0.08100460919432512	0.36076588229851403	0.639234117701486	-0.014611244240547286	0.11530215272344636	0.0	0.25565640802440526	0.051542145975505875	TAU_AMPLITUDE_DOMINANT	0.1531410019382891	-0.23095153518641778	-0.09074650370596335	-0.17340143379769457	-0.03671108487868313	-0.004803349225867969	2.390818021651142e-05	-0.0011674873046840575	-0.0002767108243431071	-0.0015865823816048064
ORIGINAL_TO_FIXED_RELEASE	PRECISION_MEAN_POOL	RELEASE_ENDPOINT_CHANGE	Combines the official nuisance-prior correction with released likelihood-implementation/composition changes; not a bugfix-only contrast.	0.3	FULL_ORIGINAL	FULL_FIXED	0.0	0.1583096749850432	0.02335873849924793	0.3978814835915881	0.15283565846767544	0.8524490780398941	-1.1102230246251565e-16	68.10666725911801	32.79768639176974	0.04766712338774562	0.047876214976863785	0.13495093648579537	0.36735668836404134	0.05311872184989377	0.0818322146359016	0.09989872336774441	0.03505221311805096	0.044085467483972365	0.090865469001823	0.32667774401560157	0.6733222559843984	-0.018066508731842817	0.13387464512885727	0.0	0.2717927036296417	0.04324450730074117	TAU_AMPLITUDE_DOMINANT	0.1534227863598992	-0.23387658752646434	-0.09183576359062666	-0.1762535610683581	-0.03671108487868313	-0.004803349225867969	2.390818021651142e-05	-0.0011674873046840575	-0.0002767108243431071	-0.0015865823816048064
ORIGINAL_TO_FIXED_RELEASE	ARITHMETIC_COVARIANCE_POOL	RELEASE_ENDPOINT_CHANGE	Combines the official nuisance-prior correction with released likelihood-implementation/composition changes; not a bugfix-only contrast.	0.5	FULL_ORIGINAL	FULL_FIXED	0.0	0.16399259135261907	0.02553602380449838	0.40495998734766264	0.15979994932570654	0.8442855034250266	2.7755575615628914e-17	59.78783960378096	29.267898300406827	0.05429367876363538	0.05446770221442759	0.13845656754812066	0.37209752424347126	0.05982003503710909	0.07863653251101158	0.09468446978800171	0.04377209776011895	0.05179606639861402	0.08666050114950664	0.3740961322084795	0.6259038677915205	-0.016047937276990137	0.11590593036630543	0.0	0.26231921463660735	0.04870095341754189	TAU_AMPLITUDE_DOMINANT	0.15142717649407575	-0.24728223072071964	-0.11613065190320788	-0.1953979925844666	-0.04229328717263314	-0.005173959371560524	2.4374129306489745e-05	-0.0012649295674056066	-0.0003519964074567561	-0.0018062631673316787
ORIGINAL_TO_FIXED_RELEASE	PRECISION_MEAN_POOL	RELEASE_ENDPOINT_CHANGE	Combines the official nuisance-prior correction with released likelihood-implementation/composition changes; not a bugfix-only contrast.	0.5	FULL_ORIGINAL	FULL_FIXED	0.0	0.17374050347143105	0.025762313813368548	0.416821908578989	0.16050642919636754	0.8517195858270047	-2.7755575615628914e-17	70.44356710147828	33.162635575031125	0.04663959246891207	0.04684192460175368	0.14797818965806253	0.384679333546868	0.0600037284878472	0.08797446117021533	0.10753164795056165	0.04044654170750088	0.05022513509767404	0.09775305456038849	0.3394090386815159	0.6605909613184842	-0.01955718678034632	0.13216263035476833	0.0	0.2772681908318331	0.041869096547577554	TAU_AMPLITUDE_DOMINANT	0.1520858672055777	-0.2508572902842233	-0.11721254996416057	-0.19835161926807568	-0.04229328717263314	-0.005173959371560524	2.4374129306489745e-05	-0.0012649295674056066	-0.0003519964074567561	-0.0018062631673316787
