component_id	family	label	is_aggregate	removed_row_count	removed_trace	removed_frobenius_norm	interpretation	solver_status	interpretation_status	rank_change_from_baseline	zero_diagonal_count	zero_precision_row_count	discarded_equation_indices	matched_leave_one_block_out_id	matched_leave_one_block_out_delta_h0	matched_leave_one_block_out_baseline_delta_h0	matched_leave_one_block_out_delta_h0_error	matched_leave_one_block_out_parameter_max_absolute_difference	matched_leave_one_block_out_match_status	covariance_model_status	zero_diagonal_atol	zero_precision_row_l2_atol	policy	nrows	npars	atol	rtol	covar_rank	covar_nullity	normal_rank	normal_nullity	covar_min_eigenvalue	covar_max_eigenvalue	covar_materially_indefinite	status	message	logh0_value	logh0_variance	h0_value	h0_error	chi2	ndof	reduced_chi2	normal_condition_number	mzero_value	mzero_error	delta_h0	absolute_delta_h0	delta_h0_in_baseline_sigma	delta_sigma_h0	absolute_delta_sigma_h0
hms:014:N1365_ceph_hst_R22	hms	HMS N1365&ceph_hst&R22	0	3	0.0	0.007681599833368047	Off-diagonal-only covariance exactly matching equations.py.	OK	PSD_ALGEBRAIC_SENSITIVITY	2	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	185	70	64	0	-2.6411483713118446e-17	0.1908326860625431	0	OK		1.8659584134322849	2.247544435247369e-05	73.44435369658407	0.8061220775904587	119.8726313427515	121	0.9906829036591034	10058.817281656386	-19.253472275025956	0.022379619325059507	-0.0543999470225458	0.0543999470225458	-0.06726007086834883	-0.002677947747386611	0.002677947747386611
hms:020:N1448_ceph_hst_R22	hms	HMS N1448&ceph_hst&R22	0	3	0.0	0.004742212142028232	Off-diagonal-only covariance exactly matching equations.py.	OK	PSD_ALGEBRAIC_SENSITIVITY	2	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	185	70	64	0	-5.2716658590944546e-17	0.1908328421943099	0	OK		1.866526164973922	2.2440583368193367e-05	73.54043001016748	0.8065469489072541	117.96057865703426	121	0.9748808153473906	10048.24634685314	-19.25057438283957	0.022360049512118417	0.04167636656086415	0.04167636656086415	0.051528641512412716	-0.00225307643059125	0.00225307643059125
hms:024:N1559_ceph_hst_R22	hms	HMS N1559&ceph_hst&R22	0	3	0.0	0.010669977319563526	Off-diagonal-only covariance exactly matching equations.py.	OK	PSD_ALGEBRAIC_SENSITIVITY	2	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	185	70	64	0	-4.140559261271979e-17	0.19083251528059877	0	OK		1.8658837003766768	2.247051726482233e-05	73.43171991848455	0.8058945776876385	119.00051720143179	121	0.9834753487721636	10066.115084137811	-19.25383993507338	0.022377125038659927	-0.06703372512207295	0.06703372512207295	-0.08288046862272559	-0.0029054476502068383	0.0029054476502068383
hms:027:N2442_ceph_hst_R22	hms	HMS N2442&ceph_hst&R22	0	3	0.0	0.011662020665390712	Off-diagonal-only covariance exactly matching equations.py.	OK	PSD_ALGEBRAIC_SENSITIVITY	2	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	185	70	64	0	-4.857139788545757e-17	0.1908324557537471	0	OK		1.8665623251152699	2.247275197537343e-05	73.54655337383907	0.8071952003929823	118.18670900057904	121	0.9767496611618103	10067.958634302815	-19.25037475806556	0.022376959302256003	0.04779973023245532	0.04779973023245532	0.05909956569609256	-0.0016048249448630258	0.0016048249448630258
hms:029:N2525_ceph_hst_R22	hms	HMS N2525&ceph_hst&R22	0	3	0.0	0.02548449128391618	Off-diagonal-only covariance exactly matching equations.py.	OK	PSD_ALGEBRAIC_SENSITIVITY	2	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	185	70	64	0	-2.363431730035783e-17	0.19083145657144412	0	OK		1.865801723399672	2.2455332479101014e-05	73.41786033112024	0.8054686917596854	119.38434084483066	121	0.9866474449986005	10065.006779862959	-19.254283487827173	0.02236668190624065	-0.08089331248638132	0.08089331248638132	-0.10001645641960907	-0.0033313335781599562	0.0033313335781599562
hms:031:N2608_ceph_hst_R22	hms	HMS N2608&ceph_hst&R22	0	3	0.0	0.05961078238037142	Off-diagonal-only covariance exactly matching equations.py.	OK	PSD_ALGEBRAIC_SENSITIVITY	2	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	185	70	64	0	-2.901089410117699e-17	0.19082685175351127	0	OK		1.8663434511846173	2.25576759074009e-05	73.50949702562708	0.8083198176048114	117.6401897396139	121	0.9722329730546604	10039.398356508376	-19.251498517438144	0.022426860262511186	0.010743382020464765	0.010743382020464765	0.013283112863376984	-0.0004802077330339216	0.0004802077330339216
hms:032:N3021_ceph_hst_R22	hms	HMS N3021&ceph_hst&R22	0	3	0.0	0.06349322362268277	Off-diagonal-only covariance exactly matching equations.py.	OK	PSD_ALGEBRAIC_SENSITIVITY	2	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	185	70	64	0	-4.484198405997962e-17	0.19082601705372212	0	OK		1.8659511079873514	2.2553185154632236e-05	73.44311826949192	0.8075090770099536	120.70034764284266	121	0.997523534238369	10092.372956739571	-19.25350376110815	0.022424670454607144	-0.05563537411470065	0.05563537411470065	-0.06878755238844249	-0.0012909483278917833	0.0012909483278917833
hms:034:N3147_ceph_hst_R22	hms	HMS N3147&ceph_hst&R22	0	3	0.0	0.06913439850031243	Off-diagonal-only covariance exactly matching equations.py.	OK	PSD_ALGEBRAIC_SENSITIVITY	2	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	185	70	64	0	-3.4177750817502663e-17	0.19082463073028666	0	OK		1.866139684007896	2.2484980356773453e-05	73.47501510177527	0.8066306176400957	117.98745645250216	121	0.9751029458884476	10053.407699964046	-19.25251097464325	0.022383668075210847	-0.02373854183134938	0.02373854183134938	-0.029350322808698617	-0.002169407697749648	0.002169407697749648
hms:035:N3254_ceph_hst_R22	hms	HMS N3254&ceph_hst&R22	0	3	0.0	0.01567673435381234	Off-diagonal-only covariance exactly matching equations.py.	OK	PSD_ALGEBRAIC_SENSITIVITY	2	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	185	70	64	0	-3.170068428539557e-17	0.19083219949783636	0	OK		1.8666472049282588	2.2414239333772008e-05	73.56092893704374	0.8062954897882122	118.28331548726779	121	0.9775480618782462	10053.168698676383	-19.24993100989235	0.022341557009444613	0.06217529343712158	0.06217529343712158	0.07687350579786421	-0.0025045355496331467	0.0025045355496331467
hms:036:N3370_ceph_hst_R22	hms	HMS N3370&ceph_hst&R22	0	3	0.0	0.007958392174302546	Off-diagonal-only covariance exactly matching equations.py.	OK	PSD_ALGEBRAIC_SENSITIVITY	2	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	185	70	64	0	-3.4254828005891576e-17	0.1908326707673475	0	OK		1.8667983941745474	2.2453188531338863e-05	73.586541874702	0.8072805486576868	119.42995581111012	121	0.9870244281909927	10055.134684035462	-19.249175702675597	0.022366314903659316	0.0877882310953737	0.0877882310953737	0.10854133079274264	-0.0015194766801585047	0.0015194766801585047
hms:039:N3447_ceph_hst_R22	hms	HMS N3447&ceph_hst&R22	0	3	0.0	0.004320899906269527	Off-diagonal-only covariance exactly matching equations.py.	OK	PSD_ALGEBRAIC_SENSITIVITY	2	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	185	70	64	0	-3.087407540720774e-17	0.19083286365621344	0	OK		1.866524115995663	2.2436310081100492e-05	73.54008305114986	0.8064659267622574	117.94363096359781	121	0.9747407517652712	10052.831401686892	-19.25058234845624	0.022357220200912815	0.041329407543244656	0.041329407543244656	0.05109966153374052	-0.002334098575587973	0.002334098575587973
hms:042:N3583_ceph_hst_R22	hms	HMS N3583&ceph_hst&R22	0	3	0.0	0.016874534838033316	Off-diagonal-only covariance exactly matching equations.py.	OK	PSD_ALGEBRAIC_SENSITIVITY	2	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	185	70	64	0	-4.408641943655044e-17	0.19083211803255062	0	OK		1.8662288440099193	2.2489164726598983e-05	73.49010096004126	0.8068717126557488	117.62281260709025	121	0.9720893603891756	10069.228430389474	-19.252089697625053	0.02238615648614469	-0.008652683565358643	0.008652683565358643	-0.010698174201644362	-0.001928312682096589	0.001928312682096589
hms:043:N3972_ceph_hst_R22	hms	HMS N3972&ceph_hst&R22	0	3	0.0	0.02118563678533171	Off-diagonal-only covariance exactly matching equations.py.	OK	PSD_ALGEBRAIC_SENSITIVITY	2	0	0	[]						NO_EXACT_ROW_BLOCK	SINGULAR_PSD	1e-10	1e-10	official_after_component_ablation	255	64	1e-10	0.0	185	70	64	0	-2.724017009434317e-17	0.19083180424482254	0	OK		1.866597970737545	2.2509891854544342e-05	73.55259010780773	0.8079318942247369	118.71187514187498	121	0.9810898772055784	10075.555587233033	-19.250198426474697	0.02239929868974117	0.05383646420111177	0.05383646420111177	0.06656338095269426	-0.0008681311131084612	0.0008681311131084612
