tau	original_reml_deviance	transformed_reml_deviance	original_reml_delta	transformed_reml_delta	reml_centered_deviance_difference	original_ml_deviance	transformed_ml_deviance	original_ml_delta	transformed_ml_delta	ml_centered_deviance_difference	original_h0_value	transformed_h0_value	h0_difference	original_h0_error	transformed_h0_error	h0_error_difference	original_chi2	transformed_chi2	original_covariance_min_eigenvalue	original_covariance_rank_at_public_cutoff
3.627773439663084e-05	27068226.93955948	27069460.67869663	27069074.10111032	27069074.18405058	-0.08294025808572769	27067821.437895324	27069055.177032474	27069073.804222472	27069073.88716273	-0.08294025808572769	73.49875363133974	73.49875363139292	-5.31770183442859e-11	0.8088000335943661	0.8088000335949488	-5.826450433232822e-13	27070187.937611513	27070188.020551823	1.316073982034482e-09	255
3.8692087807078606e-05	23795338.972688418	23796572.661615048	23796186.13423926	23796186.166968998	-0.03272973746061325	23794933.47102438	23796167.15995101	23796185.837351527	23796185.870081265	-0.03272973746061325	73.49875362967687	73.49875363067164	-9.947740409188555e-10	0.8088000347301687	0.8088000347411111	-1.0942358130705543e-11	23797290.69268286	23797290.72541261	1.4970776248387294e-09	255
4.126712110802919e-05	20918159.42294672	20919393.094033454	20919006.584497564	20919006.599387404	-0.01488984003663063	20917753.92128281	20918987.59236954	20919006.287609957	20919006.302499797	-0.01488984003663063	73.49875362826134	73.4987536283139	-5.256595159153221e-11	0.808800036027435	0.8088000360280176	-5.826450433232822e-13	20920101.8648835	20920101.87977328	1.7029752429070058e-09	255
4.4013527857062124e-05	18388845.401143298	18390079.026689474	18389692.56269414	18389692.532043424	0.03065071627497673	18388439.89947953	18389673.525025707	18389692.26580668	18389692.235155962	0.03065071627497673	73.49875362608992	73.49875362545552	6.344009761960478e-10	0.8088000374969511	0.8088000374899877	6.963318810448982e-12	18390778.56502236	18390778.53437158	1.9371905996492305e-09	255
4.694271328870265e-05	16165338.300615078	16166571.945372196	16166185.46216592	16166185.450726146	0.011439774185419083	16164932.798951477	16166166.443708595	16166185.165278625	16166185.15383885	0.011439774185419083	73.49875362348548	73.49875362295958	5.259011004454806e-10	0.8088000391670676	0.8088000391612695	5.7980287238024175e-12	16167262.186436346	16167262.174996547	2.2036183013836525e-09	255
5.006684167789932e-05	14210664.636527892	14211898.30515405	14211511.798078734	14211511.810508	-0.012429265305399895	14210259.13486448	14211492.803490637	14211511.501191627	14211511.513620893	-0.012429265305399895	73.49875362052725	73.49875362052373	3.524291969370097e-12	0.8088000410669594	0.8088000410669167	4.263256414560601e-14	14212579.244291335	14212579.25672058	2.506688607839302e-09	255
5.339888685563266e-05	12492321.26870873	12493554.926474921	12493168.430259572	12493168.431828871	-0.0015692990273237228	12491915.767045531	12493149.424811723	12493168.13337268	12493168.134941978	-0.0015692990273237228	73.49875361737321	73.49875361754692	-1.737134880386293e-10	0.8088000432304483	0.8088000432323668	-1.9184653865522705e-12	12494226.598414278	12494226.599983595	2.851441092149795e-09	255
5.695268608643535e-05	10981734.693924619	10982968.347977865	10982581.855475461	10982581.853331815	0.0021436456590890884	10981329.192261662	10982562.84631491	10982581.55858881	10982581.556445166	0.002143643796443939	73.4987536136583	73.49875361361391	4.438049927557586e-11	0.8088000456900772	0.8088000456895941	4.831690603168681e-13	10983630.74557224	10983630.743428582	3.2436084252274726e-09	255
6.0742997531565626e-05	9653786.197079688	9655019.842919558	9654633.35863053	9654633.348273508	0.010357022285461426	9653380.69541701	9654614.341256881	9654633.061744157	9654633.051387137	0.010357020422816277	73.49875360985374	73.49875360944357	4.1016789964487543e-10	0.8088000484926425	0.8088000484881235	4.519051799434237e-12	9655672.970669284	9655672.960312257	3.6897117086897964e-09	255
6.478556153646599e-05	8486393.950486584	8487627.601782361	8487241.112037426	8487241.107136311	0.004901114851236343	8485988.448824221	8487222.100119999	8487240.81515137	8487240.810250254	0.004901114851236343	73.49875360486944	73.49875360484688	2.255262643302558e-11	0.8088000516734013	0.8088000516731597	2.4158453015843406e-13	8488271.446018055	8488271.441116966	4.197168950872979e-09	255
6.90971659970209e-05	7460145.981469411	7461379.633465477	7460993.143020254	7460993.138819427	0.004200826399028301	7459740.479807408	7460974.1318034725	7460992.8461345555	7460992.841933728	0.004200827330350876	73.49875359961679	73.49875359967147	-5.468336894409731e-11	0.8088000552962313	0.8088000552968282	-5.968558980384842e-13	7462014.198942699	7462014.194741866	4.774418319468812e-09	255
7.369571607606543e-05	6557977.279050628	6559210.9320943095	6558824.44060147	6558824.437448259	0.0031532105058431625	6557571.777389032	6558805.430432714	6558824.14371618	6558824.140562969	0.0031532105058431625	73.49875359371337	73.49875359363142	8.195399914256996e-11	0.808800059418104	0.8088000594172087	8.952838470577262e-13	6559836.218465601	6559836.2153123915	5.4310585434049225e-09	255
7.860030855966228e-05	5764886.087314524	5766119.741237201	5765733.248865366	5765733.246591151	0.0022742152214050293	5764480.585653393	5765714.239576069	5765732.9519805405	5765732.949706324	0.002274216152727604	73.49875358676701	73.49875358658659	1.8042101146420464e-10	0.8088000641043465	0.8088000641023712	1.9753088054130785e-12	5766735.748671057	5766735.746396835	6.1780084647804315e-09	255
8.383131116193315e-05	5067684.429655118	5068918.083216397	5068531.59120596	5068531.588570347	0.0026356130838394165	5067278.927994514	5068512.581555793	5068531.294321662	5068531.291686049	0.0026356130838394165	73.49875357893988	73.49875357880501	1.3487522210198222e-10	0.8088000694359039	0.8088000694344402	1.4637180356658064e-12	5069524.812953069	5069524.810317443	7.0276886989786645e-09	255
8.941044710777982e-05	4454778.812080688	4456012.4671904305	4455625.97363153	4455625.97254438	0.0010871496051549911	4454373.3104206845	4455606.965530427	4455625.676747832	4455625.675660683	0.0010871496051549911	73.49875356999019	73.49875356998477	5.4143356464919634e-12	0.8088000755002582	0.8088000755002014	5.684341886080802e-14	4456609.917319889	4456609.91623273	7.994228023980352e-09	255
9.53608853447491e-05	3915977.4545990387	3917211.1102397474	3916824.6161498814	3916824.615593698	0.0005561835132539272	3915571.9529397185	3916805.6085804272	3916824.3192668664	3916824.318710683	0.0005561835132539272	73.4987535597829	73.4987535597638	1.9099388737231493e-11	0.8088000823983066	0.8088000823981076	1.9895196601282805e-13	3917799.28177929	3917799.281223112	9.093698427227214e-09	255
0.00010170733675867189	3442320.807154087	3443554.462533336	3443167.9687049296	3443167.9678872866	0.0008176430128514767	3441915.3054955434	3443148.9608747927	3443167.6718226913	3443167.6710050483	0.0008176430128514767	73.49875354828242	73.49875354825943	2.2993162929196842e-11	0.8088000902462937	0.8088000902460379	2.5579538487363607e-13	3444133.356275197	3444133.3554575522	1.0344382326173582e-08	255
0.00010847615679263917	3025932.570886591	3027166.226962481	3026779.7324374337	3026779.7323164316	0.00012100208550691605	3025527.069228932	3026760.725304822	3026779.4355560797	3026779.4354350776	0.00012100208550691605	73.49875353510556	73.49875353514645	-4.0884629015636165e-11	0.8088000991726005	0.8088000991730553	-4.547473508864641e-13	3027735.8419483094	3027735.841827315	1.1767076552306993e-08	255
0.00011569545489546937	2659888.729137551	2661122.385196659	2660735.8906883937	2660735.890550609	0.00013778451830148697	2659483.227480897	2660716.883540005	2660735.593808045	2660735.5936702606	0.00013778451830148697	73.49875352023271	73.49875352018604	4.666844688472338e-11	0.8088001093278763	0.8088001093273647	5.115907697472721e-13	2661682.722139613	2661682.7220018287	1.338543825385756e-08	255
