representation_family	case_index	case_digest	policy	nrows	npars	atol	rtol	covar_rank	covar_nullity	normal_rank	normal_nullity	covar_min_eigenvalue	covar_max_eigenvalue	covar_materially_indefinite	status	message	logh0_value	logh0_variance	h0_value	h0_error	chi2	ndof	reduced_chi2	normal_condition_number	mzero_value	mzero_error	delta_h0	absolute_delta_h0	delta_h0_in_baseline_sigma	delta_sigma_h0	absolute_delta_sigma_h0	invariance_status
simultaneous_row_column_permutation	9	7c833a84b90d773d582fa43583fc31fad46703e1ddd1699cc4159e9e38e85c0f	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-3.124046975193165e-17	0.19083307124362686	0	OK		1.8662799745904035	2.2590906690949807e-05	73.49875364360632	0.808800025337888	117.55968168211415	119	0.9878964847236483	10114.182556512622	-19.251823407376996	0.022446576710565467	-2.984279490192421e-13	2.984279490192421e-13	-3.689761865358315e-13	4.263256414560601e-14	4.263256414560601e-14	PASS
simultaneous_row_column_permutation	10	cea224a9ff85695284f192f2376c018441ce22f89989ef3c36995f435637bf7d	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-2.938981896588584e-17	0.19083307124362708	0	OK		1.8662799745904275	2.2590906690949516e-05	73.49875364361037	0.8088000253379022	117.55968168211196	119	0.9878964847236299	10114.182556513319	-19.25182340737703	0.02244657671056543	3.751665644813329e-12	3.751665644813329e-12	4.638557773593311e-12	5.684341886080802e-14	5.684341886080802e-14	PASS
simultaneous_row_column_permutation	11	81531be2a539718c134b86cbd11b0747b76c86986cc2dafd55bd58ddcc7c8250	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-2.7755575615662446e-17	0.19083307124362728	0	OK		1.8662799745904337	2.2590906690949424e-05	73.49875364361142	0.8088000253379164	117.55968168211278	119	0.9878964847236368	10114.182556513517	-19.251823407376662	0.022446576710565432	4.803268893738277e-12	4.803268893738277e-12	5.938759573767193e-12	7.105427357601002e-14	7.105427357601002e-14	PASS
simultaneous_row_column_permutation	12	b9d210b7ecbc7641c5c23fa5e7ea3faf25975266752b1baf7695d79eb00941ff	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-2.1370218544279864e-17	0.19083307124362708	0	OK		1.866279974590336	2.25909066909496e-05	73.4987536435949	0.8088000253377174	117.55968168211498	119	0.9878964847236553	10114.182556513262	-19.251823407377323	0.022446576710565474	-1.1723955140041653e-11	1.1723955140041653e-11	-1.4495493042479096e-11	-1.2789769243681803e-13	1.2789769243681803e-13	PASS
simultaneous_row_column_permutation	13	e05682d279f6be1e30ba6399e6d018ef6df8413c5fdb7b5ad02e8b7fc555321c	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-1.6580377196977744e-17	0.19083307124362703	0	OK		1.866279974590392	2.2590906690949763e-05	73.49875364360436	0.8088000253378738	117.55968168211095	119	0.9878964847236215	10114.182556512846	-19.251823407377096	0.022446576710565474	-2.2595258997171186e-12	2.2595258997171186e-12	-2.793676840914153e-12	2.842170943040401e-14	2.842170943040401e-14	PASS
simultaneous_row_column_permutation	14	a78ed9bba3681efb285952ba063b7cd2fdb6b75e60e8a118d01b916c945156e0	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-2.517538225145201e-17	0.1908330712436271	0	OK		1.8662799745904195	2.259090669095062e-05	73.49875364360902	0.8088000253379164	117.5596816821059	119	0.987896484723579	10114.18255650994	-19.251823407376904	0.02244657671056545	2.4016344468691386e-12	2.4016344468691386e-12	2.9693797868835965e-12	7.105427357601002e-14	7.105427357601002e-14	PASS
simultaneous_row_column_permutation	15	04b7b283fd6811bbf3d4f9b71b7b2b4bf8780d8083749887d8ca4ca2ad5ff84d	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-4.323534246838417e-17	0.19083307124362697	0	OK		1.8662799745904044	2.2590906690949563e-05	73.49875364360646	0.8088000253378596	117.55968168211331	119	0.9878964847236412	10114.182556513593	-19.25182340737706	0.022446576710565457	-1.5631940186722204e-13	1.5631940186722204e-13	-1.9327324056638793e-13	1.4210854715202004e-14	1.4210854715202004e-14	PASS
simultaneous_row_column_permutation	16	f3682c77d1c3980b88f8031be9f8dc27944da2dbb5a80a696ac3db466b483311	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-3.095450135678709e-17	0.19083307124362714	0	OK		1.8662799745904044	2.2590906690950146e-05	73.49875364360646	0.808800025337888	117.5596816821112	119	0.9878964847236236	10114.182556511681	-19.25182340737704	0.02244657671056547	-1.5631940186722204e-13	1.5631940186722204e-13	-1.9327324056638793e-13	4.263256414560601e-14	4.263256414560601e-14	PASS
simultaneous_row_column_permutation	17	77093db3565619e66e421d6d37ffd61964f659ad80dc20fb95e7bdf912ed0361	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-3.295974604356021e-17	0.1908330712436272	0	OK		1.866279974590336	2.2590906690949407e-05	73.4987536435949	0.8088000253377174	117.55968168211058	119	0.9878964847236184	10114.182556513624	-19.25182340737735	0.022446576710565474	-1.1723955140041653e-11	1.1723955140041653e-11	-1.4495493042479096e-11	-1.2789769243681803e-13	1.2789769243681803e-13	PASS
simultaneous_row_column_permutation	18	d079ef52c88712befced1cea6a0ee9eda72bd269b32a2aa33b0f3aa8daeed711	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-3.1366477069773996e-17	0.19083307124362697	0	OK		1.8662799745903822	2.2590906690952945e-05	73.49875364360271	0.808800025337888	117.55968168212104	119	0.9878964847237062	10114.182556502949	-19.25182340737674	0.02244657671056549	-3.907985046680551e-12	3.907985046680551e-12	-4.8318310141596985e-12	4.263256414560601e-14	4.263256414560601e-14	PASS
