equation_index	host	anchor	mu_host	mu_error	interaction	absolute_interaction	nullspace_projected_data	interaction_minus_projection
67	N5728	LMC	33.077	0.207	0.003432432432425969	0.003432432432425969	0.0034324324324117583	1.4210854715202004e-14
68	N7678	LMC	33.172	0.156	0.003432432432425969	0.003432432432425969	0.0034324324324117583	1.4210854715202004e-14
69	M1337	LMC	32.907	0.124	-0.03956756756757329	0.03956756756757329	-0.0395675675675875	1.4210854715202004e-14
70	N4680	LMC	32.585	0.206	0.003432432432425969	0.003432432432425969	0.00343243243244018	-1.4210854715202004e-14
71	N7329	LMC	33.229	0.12	0.003765765765756157	0.003765765765756157	0.003765765765745499	1.0658141036401503e-14
72	N0976	LMC	33.694	0.152	0.0030990990990886758	0.0030990990990886758	0.0030990990991384137	-4.973799150320701e-14
73	N0105	LMC	34.513	0.251	0.0027657657657584878	0.0027657657657584878	0.0027657657657336188	2.4868995751603507e-14
74	N7250	MW	31.634	0.128	0.0030540540540471284	0.0030540540540471284	0.003054054053990285	5.684341886080802e-14
75	N4536	MW	30.839	0.056	-0.004945945945962649	0.004945945945962649	-0.004945945945916463	-4.618527782440651e-14
76	N3972	MW	31.637	0.093	0.0030540540540471284	0.0030540540540471284	0.003054054054064892	-1.7763568394002505e-14
77	N4424	MW	30.846	0.131	0.002720720720709835	0.002720720720709835	0.002720720720740033	-3.019806626980426e-14
78	N4639	MW	31.816	0.087	0.003054054054040023	0.003054054054040023	0.003054054054054234	-1.4210854715202004e-14
79	N4038	MW	31.606	0.119	0.0037207207207075044	0.0037207207207075044	0.0037207207207927695	-8.526512829121202e-14
80	M101	MW	29.18	0.05	0.0030540540540471284	0.0030540540540471284	0.0030540540540684447	-2.1316282072803006e-14
81	N2442	MW	31.453	0.069	0.0033873873873773164	0.0033873873873773164	0.003387387387386198	-8.881784197001252e-15
82	N1365	MW	31.42	0.056	0.01938738738738266	0.01938738738738266	0.01938738738739687	-1.4210854715202004e-14
83	N5643	MW	30.547	0.059	0.0033873873873773164	0.0033873873873773164	0.0033873873873986327	-2.1316282072803006e-14
84	N5584	MW	31.783	0.057	0.009054054054047356	0.009054054054047356	0.009054054054061567	-1.4210854715202004e-14
85	N1559	MW	31.494	0.066	0.0037207207207075044	0.0037207207207075044	0.003720720720755466	-4.796163466380676e-14
86	N5468	MW	33.12	0.078	0.003054054054040023	0.003054054054040023	0.0030540540540489047	-8.881784197001252e-15
87	N1448	MW	31.291	0.044	0.0030540540540471284	0.0030540540540471284	0.0030540540540489047	-1.7763568394002505e-15
88	N2525	MW	32.053	0.102	0.0033873873873773164	0.0033873873873773164	0.0033873873873719873	5.329070518200751e-15
89	N3370	MW	32.125	0.057	0.0033873873873773164	0.0033873873873773164	0.003387387387356	2.1316282072803006e-14
90	N5861	MW	32.226	0.102	0.0033873873873773164	0.0033873873873773164	0.00338738738739508	-1.7763568394002505e-14
91	N3147	MW	33.014	0.168	-0.04761261261261751	0.04761261261261751	-0.047612612612596195	-2.1316282072803006e-14
92	N3021	MW	32.466	0.161	0.0033873873873773164	0.0033873873873773164	0.0033873873873631055	1.4210854715202004e-14
93	N1309	MW	32.545	0.064	0.0030540540540471284	0.0030540540540471284	0.003054054054059563	-1.2434497875801753e-14
94	N3982	MW	31.728	0.076	0.0030540540540471284	0.0030540540540471284	0.0030540540540489047	-1.7763568394002505e-15
95	N1015	MW	32.566	0.078	-0.03627927927929164	0.03627927927929164	-0.036279279279261445	-3.019806626980426e-14
96	N3447	MW	31.94	0.042	0.0033873873873773164	0.0033873873873773164	0.003387387387356	2.1316282072803006e-14
97	N5917	MW	32.369	0.122	0.002720720720709835	0.002720720720709835	0.002720720720700953	8.881784197001252e-15
98	U9391	MW	32.853	0.071	0.002720720720709835	0.002720720720709835	0.0027207207207133877	-3.552713678800501e-15
99	N3583	MW	32.807	0.083	0.0030540540540471284	0.0030540540540471284	0.0030540540540382466	8.881784197001252e-15
100	N2608	MW	32.614	0.156	0.00372072072071461	0.00372072072071461	0.0037207207206844117	3.019806626980426e-14
101	N7541	MW	32.505	0.121	0.003387387387384422	0.003387387387384422	0.0033873873873790927	5.329070518200751e-15
102	N0691	MW	32.832	0.112	0.0037207207207075044	0.0037207207207075044	0.0037207207207430315	-3.552713678800501e-14
103	N3254	MW	32.336	0.08	0.003054054054040023	0.003054054054040023	0.00305405405405601	-1.5987211554602254e-14
104	N5728	MW	33.094	0.207	0.0030540540540471284	0.0030540540540471284	0.0030540540540684447	-2.1316282072803006e-14
105	N7678	MW	33.189	0.156	0.0030540540540471284	0.0030540540540471284	0.003054054054050681	-3.552713678800501e-15
106	M1337	MW	32.924	0.124	-0.03994594594595213	0.03994594594595213	-0.03994594594594858	-3.552713678800501e-15
107	N4680	MW	32.602	0.206	0.003054054054040023	0.003054054054040023	0.0030540540540471284	-7.105427357601002e-15
108	N7329	MW	33.246	0.12	0.0033873873873773164	0.0033873873873773164	0.003387387387370211	7.105427357601002e-15
109	N0976	MW	33.712	0.152	0.0037207207207075044	0.0037207207207075044	0.003720720720716386	-8.881784197001252e-15
110	N0105	MW	34.531	0.251	0.0033873873873773164	0.0033873873873773164	0.00338738738739508	-1.7763568394002505e-14
