CID	h0dn_row_a_1based	h0dn_row_b_1based	IDSURVEY_a	IDSURVEY_b	source_directory_a	source_directory_b	candidate_path_a	candidate_path_b	distinct_file_blob	observation_count_a	observation_count_b	byte_exact_observation_row_match_count	rounding_compatible_edge_count	mutual_unique_rounding_compatible_match_count	ambiguous_rounding_compatible_edge_count	near_payload_edge_count	mutual_unique_near_payload_match_count	primary_pair_classification	evidence_level	physical_exposure_identity	statistical_independence	direct_final_measurement_ancestry
2007F	14	15	51	64	LOSS	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/LOSS/2007F.dat	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007F.DAT	YES	100	127	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2007O	147	148	57	64	KAIT_DS15	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007O.dat	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007O.DAT	YES	34	55	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2007bd	90	91	51	5	LOSS	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/LOSS/2007bd.dat	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2007bd.DAT	YES	20	110	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2007bd	90	92	51	64	LOSS	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/LOSS/2007bd.dat	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007bd.DAT	YES	20	46	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2007bd	91	92	5	64	CSPDR3_anthony	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2007bd.DAT	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007bd.DAT	YES	110	46	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2007co	50	51	57	56	KAIT_DS15	SWIFT	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007co.dat	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2007co.dat	YES	94	44	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2007co	50	52	57	64	KAIT_DS15	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007co.dat	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007co.DAT	YES	94	122	0	1	1	0	1	1	SINGLE_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2007co	51	52	56	64	SWIFT	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2007co.dat	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007co.DAT	YES	44	122	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2007cq	28	29	56	64	SWIFT	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2007cq.dat	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007cq.DAT	YES	64	111	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2007cq	28	31	56	57	SWIFT	KAIT_DS15	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2007cq.dat	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007cq.dat	YES	64	91	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
