CID_a	CID_b	h0dn_row_a_1based	h0dn_row_b_1based	source_directory_a	source_directory_b	observation_count_a	observation_count_b	observation_pair_opportunity_count	rounding_compatible_edge_count	mutual_unique_rounding_compatible_match_count	negative_control_pair_classification
2009ad	2008hj	65	136	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	128	16	2048	0	0	CROSS_CID_ZERO
2009cz	1999gp	1	46	SWIFT	KAIT_DS15	70	87	6090	0	0	CROSS_CID_ZERO
2009cz	1999gp	2	45	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	83	190	15770	0	0	CROSS_CID_ZERO
2009cz	1999gp	2	46	CSPDR3_anthony	KAIT_DS15	83	87	7221	0	0	CROSS_CID_ZERO
2009cz	2001eh	1	139	SWIFT	KAIT_DS15	70	116	8120	0	0	CROSS_CID_ZERO
2009cz	2001eh	1	140	SWIFT	CfA3_DJ20	70	93	6510	0	0	CROSS_CID_ZERO
2009cz	2001eh	2	139	CSPDR3_anthony	KAIT_DS15	83	116	9628	0	0	CROSS_CID_ZERO
2009cz	2001eh	2	140	CSPDR3_anthony	CfA3_DJ20	83	93	7719	0	0	CROSS_CID_ZERO
2009cz	2003fa	1	155	SWIFT	KAIT_DS15	70	150	10500	0	0	CROSS_CID_ZERO
2009cz	2003fa	1	156	SWIFT	CfA3_DJ20	70	92	6440	0	0	CROSS_CID_ZERO
2009cz	2003fa	2	155	CSPDR3_anthony	KAIT_DS15	83	150	12450	0	0	CROSS_CID_ZERO
2009cz	2003fa	2	156	CSPDR3_anthony	CfA3_DJ20	83	92	7636	0	0	CROSS_CID_ZERO
2009cz	2004as	1	109	SWIFT	KAIT_DS15	70	91	6370	0	0	CROSS_CID_ZERO
2009cz	2004as	1	110	SWIFT	CfA3_DJ20	70	51	3570	0	0	CROSS_CID_ZERO
2009cz	2004as	2	109	CSPDR3_anthony	KAIT_DS15	83	91	7553	0	0	CROSS_CID_ZERO
2009cz	2004as	2	110	CSPDR3_anthony	CfA3_DJ20	83	51	4233	0	0	CROSS_CID_ZERO
2009cz	2004ef	1	81	SWIFT	KAIT_DS15	70	97	6790	0	0	CROSS_CID_ZERO
2009cz	2004ef	1	82	SWIFT	CSPDR3_anthony	70	278	19460	0	0	CROSS_CID_ZERO
