h0dn_row_1based	official_row_1based	CID	IDSURVEY	final_dependency_classification
146	579	2008gb	65	CATALOG_ONLY_UNIQUE
147	580	2007O	57	CATALOG_ONLY_UNIQUE
148	581	2007O	64	CATALOG_ONLY_UNIQUE
149	582	2008fr	65	CATALOG_ONLY_UNIQUE
150	585	2009bv	65	CATALOG_ONLY_UNIQUE
151	586	2008051	65	CATALOG_ONLY_UNIQUE
152	587	ASASSN-15np	150	CATALOG_ONLY_UNIQUE
153	591	2008dr	57	CATALOG_ONLY_UNIQUE
154	592	PS15cze	150	CATALOG_ONLY_UNIQUE
155	593	2003fa	57	CATALOG_ONLY_UNIQUE
156	594	2003fa	63	CATALOG_ONLY_UNIQUE
157	596	PS16axi	150	CATALOG_ONLY_UNIQUE
158	598	2009do	65	CATALOG_ONLY_UNIQUE
159	599	2001az	63	CATALOG_ONLY_UNIQUE
160	601	1992bl	50	CATALOG_ONLY_UNIQUE
161	602	2014bj	51	CATALOG_ONLY_UNIQUE
162	603	2006cf	64	CATALOG_ONLY_UNIQUE
163	605	2007kk	51	CATALOG_ONLY_UNIQUE
164	606	2007kk	65	CATALOG_ONLY_UNIQUE
165	607	AT2016htm	150	CATALOG_ONLY_UNIQUE
166	612	MASTERJ0134	150	CATALOG_ONLY_UNIQUE
167	613	ASASSN-15mg	150	CATALOG_ONLY_UNIQUE
168	614	AT2016cvv	150	CATALOG_ONLY_UNIQUE
169	615	2005ku	5	CATALOG_ONLY_UNIQUE
170	616	1992bh	50	CATALOG_ONLY_UNIQUE
171	620	PSNJ1204051	150	CATALOG_ONLY_UNIQUE
172	621	2005hc	64	CATALOG_ONLY_UNIQUE
173	622	2005hc	5	CATALOG_ONLY_UNIQUE
174	625	2008050	65	CATALOG_ONLY_UNIQUE
175	627	2005lz	64	CATALOG_ONLY_UNIQUE
176	628	360156	15	CATALOG_ONLY_UNIQUE
177	630	2008cf	5	CATALOG_ONLY_UNIQUE
178	631	2008cf	65	CATALOG_ONLY_UNIQUE
179	632	AT2017yk	150	CATALOG_ONLY_UNIQUE
180	634	PS16fa	150	CATALOG_ONLY_UNIQUE
181	635	PS15aii	150	CATALOG_ONLY_UNIQUE
182	636	PS17akj	150	CATALOG_ONLY_UNIQUE
183	638	ASASSN-15pm	150	CATALOG_ONLY_UNIQUE
184	639	1995ac	61	CATALOG_ONLY_UNIQUE
185	642	PS16el	150	CATALOG_ONLY_UNIQUE
186	643	2006cq	64	CATALOG_ONLY_UNIQUE
187	645	PS15asb	150	CATALOG_ONLY_UNIQUE
188	647	PS16dnp	150	CATALOG_ONLY_UNIQUE
189	648	2007kh	65	CATALOG_ONLY_UNIQUE
190	653	PS16fbb	150	CATALOG_ONLY_UNIQUE
191	655	ASASSN-16hc	150	CATALOG_ONLY_UNIQUE
192	657	2006ot	5	CATALOG_ONLY_UNIQUE
193	659	AT2016htn	150	CATALOG_ONLY_UNIQUE
194	660	PS16evk	150	CATALOG_ONLY_UNIQUE
195	662	2010dt	66	CATALOG_ONLY_UNIQUE
196	663	2006lu	5	CATALOG_ONLY_UNIQUE
197	665	PS16ayd	150	CATALOG_ONLY_UNIQUE
198	667	490007	15	CATALOG_ONLY_UNIQUE
199	670	PS16aer	150	CATALOG_ONLY_UNIQUE
200	671	2005hj	5	CATALOG_ONLY_UNIQUE
201	672	2008eq	51	CATALOG_ONLY_UNIQUE
202	675	SN2016gmb	150	CATALOG_ONLY_UNIQUE
203	676	2001ah	63	CATALOG_ONLY_UNIQUE
204	680	2008bz	5	CATALOG_ONLY_UNIQUE
205	681	2008bz	65	CATALOG_ONLY_UNIQUE
206	685	2006oa	64	CATALOG_ONLY_UNIQUE
207	686	1992bs	50	CATALOG_ONLY_UNIQUE
208	689	2007ae	64	CATALOG_ONLY_UNIQUE
209	690	PS15cms	150	CATALOG_ONLY_UNIQUE
210	691	6057	1	CATALOG_ONLY_UNIQUE
211	692	SN2016ixf	150	CATALOG_ONLY_UNIQUE
212	698	1993B	50	CATALOG_ONLY_UNIQUE
213	699	2008Y	51	CATALOG_ONLY_UNIQUE
214	700	2008Y	65	CATALOG_ONLY_UNIQUE
215	707	PS15bwh	150	CATALOG_ONLY_UNIQUE
216	712	Gaia16aki	150	CATALOG_ONLY_UNIQUE
217	714	PS17bii	150	CATALOG_ONLY_UNIQUE
218	716	2005ir	5	CATALOG_ONLY_UNIQUE
219	719	370333	15	CATALOG_ONLY_UNIQUE
220	723	2007hx	5	CATALOG_ONLY_UNIQUE
221	724	560033	15	CATALOG_ONLY_UNIQUE
222	725	12779	1	CATALOG_ONLY_UNIQUE
223	726	PS15bzz	150	CATALOG_ONLY_UNIQUE
224	727	350316	15	CATALOG_ONLY_UNIQUE
225	728	2005ag	5	CATALOG_ONLY_UNIQUE
226	729	12950	1	CATALOG_ONLY_UNIQUE
227	733	SN2016glp	150	CATALOG_ONLY_UNIQUE
228	734	3592	1	CATALOG_ONLY_UNIQUE
229	735	SN2016grz	150	CATALOG_ONLY_UNIQUE
230	736	1241	1	CATALOG_ONLY_UNIQUE
231	737	590194	15	CATALOG_ONLY_UNIQUE
232	738	370066	15	CATALOG_ONLY_UNIQUE
233	739	300105	15	CATALOG_ONLY_UNIQUE
234	740	iPTF17dz	150	CATALOG_ONLY_UNIQUE
235	742	160099	15	CATALOG_ONLY_UNIQUE
236	743	000190	15	CATALOG_ONLY_UNIQUE
237	744	140181	15	CATALOG_ONLY_UNIQUE
238	749	18697	1	CATALOG_ONLY_UNIQUE
239	750	20625	1	CATALOG_ONLY_UNIQUE
240	753	21034	1	CATALOG_ONLY_UNIQUE
241	754	500038	15	CATALOG_ONLY_UNIQUE
242	756	020027	15	CATALOG_ONLY_UNIQUE
243	757	18650	1	CATALOG_ONLY_UNIQUE
244	758	18612	1	CATALOG_ONLY_UNIQUE
245	759	8719	1	CATALOG_ONLY_UNIQUE
246	760	5395	1	CATALOG_ONLY_UNIQUE
247	761	2561	1	CATALOG_ONLY_UNIQUE
248	767	490008	15	CATALOG_ONLY_UNIQUE
249	768	19953	1	CATALOG_ONLY_UNIQUE
250	772	16021	1	CATALOG_ONLY_UNIQUE
251	775	6406	1	CATALOG_ONLY_UNIQUE
252	776	19543	1	CATALOG_ONLY_UNIQUE
253	777	13044	1	CATALOG_ONLY_UNIQUE
254	779	2992	1	CATALOG_ONLY_UNIQUE
255	781	744	1	CATALOG_ONLY_UNIQUE
256	782	14871	1	CATALOG_ONLY_UNIQUE
257	783	18855	1	CATALOG_ONLY_UNIQUE
258	791	15508	1	CATALOG_ONLY_UNIQUE
259	793	15234	1	CATALOG_ONLY_UNIQUE
260	794	000014	15	CATALOG_ONLY_UNIQUE
261	795	17629	1	CATALOG_ONLY_UNIQUE
262	796	19775	1	CATALOG_ONLY_UNIQUE
263	797	18602	1	CATALOG_ONLY_UNIQUE
264	799	17366	1	CATALOG_ONLY_UNIQUE
265	800	15171	1	CATALOG_ONLY_UNIQUE
266	801	190340	15	CATALOG_ONLY_UNIQUE
267	802	20084	1	CATALOG_ONLY_UNIQUE
268	805	090275	15	CATALOG_ONLY_UNIQUE
269	806	1794	1	CATALOG_ONLY_UNIQUE
270	808	340229	15	CATALOG_ONLY_UNIQUE
271	810	2635	1	CATALOG_ONLY_UNIQUE
272	813	17497	1	CATALOG_ONLY_UNIQUE
273	814	8921	1	CATALOG_ONLY_UNIQUE
274	819	13796	1	CATALOG_ONLY_UNIQUE
275	820	14024	1	CATALOG_ONLY_UNIQUE
276	821	180166	15	CATALOG_ONLY_UNIQUE
277	825	13736	1	CATALOG_ONLY_UNIQUE
