target_h0dn_row_1based	target_CID	target_IDSURVEY	target_survey_label	path	source_directory	SNID	SURVEY	git_blob_sha1	sha256	used_by_other_main_row
64	2009ad	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009ad.DAT	CSPDR3_anthony	2009ad	CSP	3224dd7606ddb830216c2ab3ffcffab9ac8ba271	c431957455b416c3f91172d84436db3ce7c2ecb08cff19b1174a809d5cd64a49	true
64	2009ad	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2009ad.dat	PS1_LOWZ_COMBINED_TEXT_DS17	2009ad	PS1_LOWZ_COMBINED(CFA4p1)	428cf70ad657f58a5f77b41f644786985c5e8cbd	a515257adb02f179083084cea0e29040c74a780b56bcf10eb27242c8fcd4d6b4	false
66	2008ar	57	LOSS2	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008ar.DAT	CSPDR3_anthony	2008ar	CSP	5df51a0ebdce79a305bdf67c2c49396be7eeaf22	fa3ebdc6d6b47ed14ac1cc347bb3a7c45b2acea1d9d2a283c8273d2c9e69ba93	true
66	2008ar	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2008ar.dat	KAIT_DS15	2008ar	KAITM	be2d8a918bec2cd231fac0ac0545b031f796e13d	fd2e2802c87a7e0d4a5866a1d24bf1e2f6b6abb2b7287cb908d28e29aad6e97d	false
66	2008ar	57	LOSS2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008ar.dat	PS1_LOWZ_COMBINED_TEXT_DS17	2008ar	PS1_LOWZ_COMBINED(CFA4p1)	d2375ad89833406e381a6ad36842d899de095b1a	5065173479c404ef30c5b6ece2ba6b499a756e6f7254c5cb5448a082cf84e87c	false
68	2008ar	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008ar.DAT	CSPDR3_anthony	2008ar	CSP	5df51a0ebdce79a305bdf67c2c49396be7eeaf22	fa3ebdc6d6b47ed14ac1cc347bb3a7c45b2acea1d9d2a283c8273d2c9e69ba93	true
68	2008ar	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2008ar.dat	KAIT_DS15	2008ar	KAITM	be2d8a918bec2cd231fac0ac0545b031f796e13d	fd2e2802c87a7e0d4a5866a1d24bf1e2f6b6abb2b7287cb908d28e29aad6e97d	false
68	2008ar	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008ar.dat	PS1_LOWZ_COMBINED_TEXT_DS17	2008ar	PS1_LOWZ_COMBINED(CFA4p1)	d2375ad89833406e381a6ad36842d899de095b1a	5065173479c404ef30c5b6ece2ba6b499a756e6f7254c5cb5448a082cf84e87c	false
81	2004ef	57	LOSS2	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2004ef.DAT	CSPDR3_anthony	2004ef	CSP	b07e1be51323af674209527520cae1e12eca7cf7	566b89395e31f1140954e6c77653d0a163739d9baf32a8afa414113ebcedcbdf	true
81	2004ef	57	LOSS2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2004ef.DAT	CfA3_DJ20	2004ef	PS1_LOWZ_COMBINED(CFA3K)	44712567be55bc04e11b0bd1d0fd7b958c945813	02878c7ef5200a532acbf1122401c9c24250b51598dfcd3b39e67ffd1e91abea	true
