h0dn_row_1based	official_row_1based	CID	IDSURVEY	survey_label	source_directory	path	git_blob_sha1	bytes	sha256	SNID	SURVEY	NOBS	observation_line_count	observation_lines_sha256	active_list_occurrences	ignore_list_occurrences	evidence_level	direct_final_measurement_ancestry
92	494	2007bd	64	CFA3K	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007bd.DAT	2856af6c6e05924c7ba1a3a37015efa43e427a8d	4266	ff42b5e2370ab753f3ca7858c9159621928aa5a0f902fad4259bd8657ab6ac34	2007bd	PS1_LOWZ_COMBINED(CFA3K)	46	46	0cca10e1d61b9f22f1d37ff183f306f91df3d963357026f2597540c1d8c0c03f	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
98	505	2006en	64	CFA3K	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006en.DAT	a76833b2a9a37f3fe3393bce47e7623a56a0d2e5	5228	fb47a2e245acb1dd78ae7ccee831f52a18d7c0581a93f289e079f35bb33bc13a	2006en	PS1_LOWZ_COMBINED(CFA3K)	58	58	3c29c67603aa020372bc3923d096e709044958720b43d39d024670bd175714c2	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
110	524	2004as	63	CFA3S	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2004as.DAT	5a8fb4709c9ea2c2dc17e37e162013ff9aee0b60	4671	e7399e1fa3dbb190ec45b9ecb69a779e37cdb396cd77b02074f1e0515e666eec	2004as	PS1_LOWZ_COMBINED(CFA3S)	51	51	be6b5aaf110d385abb4d1608bd635f4349144819fb5f921b0dd468bc507ce90d	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
113	529	2005iq	64	CFA3K	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005iq.DAT	a144dcbc029b392893a0c3129d1b189e812c7695	5958	e1e00973c34b1d592de651fdf0b7b4ed6a861775cc01c6b35be70cd30e6ddaeb	2005iq	PS1_LOWZ_COMBINED(CFA3K)	67	67	0bcf049f61afd9bd3d1c87641e4633d4aa3393e2f9ff883b0ff2669725064124	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
114	530	2005iq	5	CSP	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005iq.DAT	217af4b87774ab7527883422daddc4f9871e521b	10538	4a33b57941e55cb67440e2f75b29fd163996daa3e8ed021eaf5050e21cb64169	2005iq	CSP	154	154	9f1667019e9c77232fec76b0150c53043c25bc1e2e5247e2bbcd90929170eb96	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
121	538	2006gr	64	CFA3K	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006gr.DAT	0ff383a204bcb6934596db29afb1e0dbb2263b50	10907	1770b213c2b4bb5b726aeedb09f7af3713f186c371bd76650b0958a37324b54a	2006gr	PS1_LOWZ_COMBINED(CFA3K)	129	129	d8a65bebd161c9aec60139fdd6edea17d668211f16f064b578b724c67f9f95f4	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
135	561	2008hj	5	CSP	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008hj.DAT	e3aeea808ea4e48e6814b4702b7cb2300906a1dc	8781	bd1de6b261704125153c7daf55a9c2628b795fcff53fa8253d758dcd8551297e	2008hj	CSP	127	127	04a849ce103078b7d41d76e28221a0c96e4e46033fb18f9f61fc38186e3f737a	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
140	571	2001eh	63	CFA3S	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2001eh.DAT	b25e124b2e0434027bf6571f4307903ab0be9a3d	8034	b31ab0d4f1121ff34bbb4d1164fcc6452217a619b8d412264758797faaa8b61d	2001eh	PS1_LOWZ_COMBINED(CFA3S)	93	93	736674c0d15627561cfe05ab8bae2d9497a2fb16b1351b6c49014e4b00703fee	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
145	576	2007jg	5	CSP	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2007jg.DAT	d1a13a1733002d32c21d0b808cea0de36f46ecaa	7871	20d5be9f9ed65842a17ac2472ccec7be59a7ba5769c773dae78e031ec5434fc1	2007jg	CSP	113	113	0aefb7eb5a206cae5a8191431ccfde1a14a6f1f0adb5ecc029c7bc98350274ed	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
148	581	2007O	64	CFA3K	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007O.DAT	100ed935eb04f260a03d99c46455729d868ed7a7	4986	b2b735372a425fe1c5a45cc48f35aa92df5afaf1decc770085854a2a694b4057	2007O	PS1_LOWZ_COMBINED(CFA3K)	55	55	41c964c145d4ddc533a1f26e80af347cb49060acb0c0a7a92b3b969b6f1799f1	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
156	594	2003fa	63	CFA3S	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2003fa.DAT	789dd0dc816321c56b831b19502d330f0527e46b	7954	817a02656cd4743687b442ca777fc81ee7a5eddf5e6d9ce10dc469488f54de29	2003fa	PS1_LOWZ_COMBINED(CFA3S)	92	92	7b3971a93fc41c7ea8855c07dbccfcdee1fd3e368114caaeb4fa6958894dba8c	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
172	621	2005hc	64	CFA3K	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005hc.DAT	e17df52dae934ee1b3d2606a38208f573b61a8d2	9472	935cbaa80291c801b3f71822027289084e2400ce45c0d8a06ad8abe2c8e835f5	2005hc	PS1_LOWZ_COMBINED(CFA3K)	111	111	176a2f5423f44980ba7df1b251895fd9234f7bf873035b01172c1c34dfc73c4f	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
173	622	2005hc	5	CSP	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005hc.DAT	23a1052db3a092661978be885b91bf6ced950f54	11121	b13f82a3b94a665b9054b60ac3c0f8e1f01128da86d52285c75e4e032c0330fb	2005hc	CSP	163	163	e22b7c42cdd65759f9950389f9bd702c61cad992b46ea4754d78f11fd3cb6cfa	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
177	630	2008cf	5	CSP	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008cf.DAT	0ace2b20455ea785f0e1f8535c7e450028cff54e	6758	1b454580ee2ed6de40ba6e66f3797ed5021eb247d6878e075e6015c781664b8f	2008cf	CSP	96	96	7883158ee5d7ba7f376969c14704f128307361b49a15841a4e6693da3ede0da7	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
204	680	2008bz	5	CSP	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008bz.DAT	0f42bac3ecee8c3866e2405611e53b5b8eea1978	5073	646320fec71072f58670d0439e3f525fa569a2f7e1247460b024035c65bd9a1e	2008bz	CSP	70	70	fcc74f494813102e4702bfaccddbf213c15f8df38d747d35a62b56dbb71c10b8	1	0	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
